nid,xx,xy,xz,vx,vy,vz,ns
2,1.0,0.0,0.0,0.0,1.0,0.0,Y
2510,0.9720815750276967,0.0,0.23464315777723535,0.0,1.0,0.0,Y
4090,6.123233995736766e-17,0.0,-1.0,0.0,1.0,0.0,Y
4250,6.123233995736766e-17,0.0,-1.0,0.0,1.0,0.0,Y
5,1.0,0.0,0.0,0.0,1.0,0.0,GUI_Y
10,0.9688623603516912,0.0,-0.24759993274181172,0.0,1.0,0.0,GUI_Y
30,1.0,0.0,0.0,0.0,1.0,0.0,GUI_Y
60,1.0,0.0,0.0,0.0,1.0,0.0,GUI_Y
90,1.0,0.0,0.0,0.0,1.0,0.0,GUI_Y
110,0.7864539663243773,0.0,-0.6176488960992769,0.0,1.0,0.0,GUI_Y
112,0.6913749523208693,0.0,-0.7224961420681191,0.0,1.0,0.0,GUI_Y
114,0.24130883401388875,0.0,-0.9704483740142272,0.0,1.0,0.0,GUI_Y
116,0.23785109379337904,0.0,-0.9713016303812597,0.0,1.0,0.0,GUI_Y
118,0.23798817324955693,0.0,-0.9712680522869775,0.0,1.0,0.0,GUI_Y
120,0.2378293515846912,0.0,-0.9713069543274182,0.0,1.0,0.0,GUI_Y
122,0.2378293515846912,0.0,-0.9713069543274182,0.0,1.0,0.0,GUI_Y
130,0.24426236109037308,0.0,-0.9697091826700189,0.0,1.0,0.0,GUI_Y
160,0.32626115500179065,0.0,-0.9452796722329839,0.0,1.0,0.0,GUI_Y
190,0.4464564967242068,0.0,-0.8948053400224812,0.0,1.0,0.0,GUI_Y
200,0.28209040810134234,0.0,-0.9593878265108527,0.0,1.0,0.0,GUI_Y
220,0.09855426858365367,0.0,-0.9951316777914072,0.0,1.0,0.0,GUI_Y
298,0.2400825620465586,0.0,-0.9707524727762276,0.0,1.0,0.0,GUI_Y
300,0.5990426174450263,0.0,0.8007171426194221,0.0,1.0,0.0,GUI_Y
301,0.600000050856437,0.0,0.7999999618576696,0.0,1.0,0.0,GUI_Y
302,0.5991669966851629,0.0,0.8006240753832488,0.0,1.0,0.0,GUI_Y
304,0.9898130815459726,0.0,0.1423729735605247,0.0,1.0,0.0,GUI_Y
305,0.9899050292344888,0.0,0.14173225848855273,0.0,1.0,0.0,GUI_Y
365,0.9943195628296264,0.0,0.10643592896339354,0.0,1.0,0.0,GUI_Y
395,0.9908356168621894,0.07975917846657493,0.10901033807699906,-0.07928081062000483,0.9968141619431061,-0.008722363045521504,GUI_Y
495,0.9914214686210746,0.07689326749676179,0.10569246411595827,-0.07646000904957888,0.9970393299231839,-0.008151171846236413,GUI_Y
498,0.9910262622580225,0.08024001611837069,0.10690410342085387,-0.0797771991368949,0.9967755714368824,-0.00860573556115932,GUI_Y
499,0.9910940727009904,0.08021051837306754,0.10629586915439242,-0.07975313828162506,0.9967779455537346,-0.008553606953104434,GUI_Y
500,0.9910515115280046,0.08027080779965552,0.10664660760309318,-0.0798100450550767,0.9967730922407521,-0.008588323067739389,GUI_Y
555,0.9836699520195414,0.08088362908842256,0.16078328283549762,-0.07982433585279618,0.9967235517160646,-0.013047484821739185,GUI_Y
595,0.974195079129719,0.08163786003943503,0.21042625218261654,-0.07979756107358474,0.9966620589789609,-0.017236282619111865,GUI_Y
625,0.9628078687306221,0.08180889020936888,0.2575040065573907,-0.07903115289150225,0.9966480349063612,-0.021136967377761818,GUI_Y
634,0.9608007896749415,0.08311867720077977,0.2644865366335334,-0.08013779504882432,0.9965396557590634,-0.022060106625310213,GUI_Y
639,0.9608665663797984,0.08223186330729561,0.26452478573945876,-0.07928235964027272,0.996613225206755,-0.02182628674008027,GUI_Y
645,0.960866943498975,0.0830452365611868,0.26426919149880895,-0.08007200908047113,0.9965457785192291,-0.02202236765927828,GUI_Y
651,0.9606464003103452,0.0822318635436945,0.2653232258753598,-0.07926419367876585,0.9966132251872495,-0.02189216714544012,GUI_Y
655,0.9582646917330581,0.08304547985409633,0.27355480045787917,-0.07985539097809989,0.9965457582448499,-0.02279623337158843,GUI_Y
670,0.9522987335639113,0.08213138293874113,0.2939073969622759,-0.07847875156721575,0.9966215108738974,-0.024220850849657808,GUI_Y
703,0.9386498243571861,0.0845383024736567,0.3343497908614515,-0.07963694468739681,0.9964202303319983,-0.028366910758557646,GUI_Y
710,0.9390112957822818,0.08064762385740565,0.33429589761083595,-0.07597650994248556,0.9967426753009798,-0.02704827482123358,GUI_Y
725,0.9396092974146099,0.06664195853759444,0.3356981048118932,-0.06275691536748741,0.9977769537137413,-0.022421423043252158,GUI_Y
730,0.940733320167651,0.06645812845536124,0.3325720034647513,-0.06265789898997261,0.9977892147954951,-0.022151084216166125,GUI_Y
755,0.9515781192784272,0.06622974219315814,0.3001877814961151,-0.06316145077912805,0.9978044002954827,-0.019925106936926982,GUI_Y
790,0.9632800146413324,0.06543319348620111,0.2604037453317284,-0.06316585502174164,0.9978569522683085,-0.01707564256989902,GUI_Y
795,0.9655032724539545,0.0644658510008809,0.252284729889538,-0.062371728684482396,0.9979199136477497,-0.01629765032687512,GUI_Y
815,0.9719491072673974,0.06504059600021046,0.22601914466267403,-0.06335028592396467,0.9978826187843626,-0.014731612315511023,GUI_Y
880,0.9731824816032146,0.042692763109047786,0.22603801777294816,-0.041585765039121876,0.9990882483435158,-0.009658994150335748,GUI_Y
932,0.9736637516331219,0.014271624836807528,0.22754168734592706,-0.013897179136268652,0.9998981551760746,-0.0032477203600434533,GUI_Y
