JOBNAME,ISSUE_NO,UPDATE_TIME,FROM_NODE,TO_NODE,FROM_NODE_X,FROM_NODE_Y,FROM_NODE_Z,TO_NODE_X,TO_NODE_Y,TO_NODE_Z
21MARCH2023,,20240528 110018,2,5,0.00,0.00,0.00,-240.00,0.00,0.00
21MARCH2023,,20240528 110018,5,10,-240.00,0.00,0.00,-480.00,0.00,0.00
21MARCH2023,,20240528 110018,10,20,-480.00,0.00,0.00,-811.38,0.00,181.86
21MARCH2023,,20240528 110018,20,30,-811.38,0.00,181.86,-931.38,0.00,181.86
21MARCH2023,,20240528 110018,30,40,-931.38,0.00,181.86,-1051.38,0.00,181.86
21MARCH2023,,20240528 110018,40,50,-1051.38,0.00,181.86,-1110.38,0.00,181.86
21MARCH2023,,20240528 110018,50,60,-1110.38,0.00,181.86,-1200.38,0.00,181.86
21MARCH2023,,20240528 110018,60,70,-1200.38,0.00,181.86,-1222.38,0.00,181.86
21MARCH2023,,20240528 110018,70,80,-1222.38,0.00,181.86,-1244.38,0.00,181.86
21MARCH2023,,20240528 110018,80,90,-1244.38,0.00,181.86,-1334.38,0.00,181.86
21MARCH2023,,20240528 110018,90,100,-1334.38,0.00,181.86,-1730.38,0.00,181.86
21MARCH2023,,20240528 110018,100,110,-1730.38,0.00,181.86,-2054.38,0.00,181.86
21MARCH2023,,20240528 110018,110,112,-2054.38,0.00,181.86,-2226.94,0.00,886.03
21MARCH2023,,20240528 110018,112,113,-2226.94,0.00,886.03,-2394.73,0.00,1570.78
21MARCH2023,,20240528 110018,113,114,-2394.73,0.00,1570.78,-2399.49,0.00,1590.20
21MARCH2023,,20240528 110018,114,115,-2399.49,0.00,1590.20,-2422.34,0.00,1683.44
21MARCH2023,,20240528 110018,115,116,-2422.34,0.00,1683.44,-2570.15,0.00,2286.60
21MARCH2023,,20240528 110018,116,118,-2570.15,0.00,2286.60,-2742.70,0.00,2990.77
21MARCH2023,,20240528 110018,118,120,-2742.70,0.00,2990.77,-2915.26,0.00,3694.95
21MARCH2023,,20240528 110018,120,122,-2915.26,0.00,3694.95,-3087.82,0.00,4399.12
21MARCH2023,,20240528 110018,122,130,-3087.82,0.00,4399.12,-3260.37,0.00,5103.29
21MARCH2023,,20240528 110018,130,140,-3260.37,0.00,5103.29,-3308.35,0.00,5289.21
21MARCH2023,,20240528 110018,140,150,-3308.35,0.00,5289.21,-3373.96,0.00,5532.52
21MARCH2023,,20240528 110018,150,160,-3373.96,0.00,5532.52,-3412.49,0.00,5715.51
21MARCH2023,,20240528 110018,160,180,-3412.49,0.00,5715.51,-3434.63,0.00,5760.34
21MARCH2023,,20240528 110018,180,190,-3434.63,0.00,5760.34,-3487.88,0.00,5865.64
21MARCH2023,,20240528 110018,190,200,-3487.88,0.00,5865.64,-3559.62,0.00,6011.94
21MARCH2023,,20240528 110018,200,220,-3559.62,0.00,6011.94,-3567.10,0.00,6081.03
21MARCH2023,,20240528 110018,220,230,-3567.10,0.00,6081.03,-3581.19,0.00,6248.27
21MARCH2023,,20240528 110018,230,240,-3581.19,0.00,6248.27,-3591.90,61.43,6354.29
21MARCH2023,,20240528 110018,240,249,-3591.90,61.43,6354.29,-3605.76,140.84,6491.35
21MARCH2023,,20240528 110018,250,260,-3605.76,140.84,6491.35,-3610.21,164.84,6532.68
21MARCH2023,,20240528 110018,260,270,-3610.21,164.84,6532.68,-3639.97,284.53,6738.56
21MARCH2023,,20240528 110018,270,290,-3639.97,284.53,6738.56,-3662.83,284.53,6831.80
21MARCH2023,,20240528 110018,290,291,-3662.83,284.53,6831.80,-3665.68,284.53,6843.46
