JOBNAME,ISSUE_NO,UPDATE_TIME,REST_PTR,NODE_NUM,NODE_NAME,TYPE,STIFFNESS,GAP,FRIC_COEF,CNODE,XCOSINE,YCOSINE,ZCOSINE
21MARCH2023,,20240528 110018,1,2,,Y,-1.01,1.00,-1.01,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,1,5,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,1,5,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,0.00,0.00
21MARCH2023,,20240528 110018,2,10,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,2,10,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,0.00,0.00
21MARCH2023,,20240528 110018,3,30,,Y,500000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,3,30,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,4,60,,+Y,500000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,4,60,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,5,90,,+Y,500000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,5,90,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,6,110,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,6,110,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,7,112,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,7,112,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,8,114,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,8,114,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,9,116,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,9,116,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,10,118,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,10,118,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,11,120,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,11,120,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,12,122,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,12,122,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,13,130,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,13,130,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,14,160,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,14,160,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,15,190,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,15,190,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,16,200,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,16,200,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,17,220,,Y,150000.00,-1.01,0.40,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,17,220,,GUI,150000.00,-1.01,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,18,249,,ANC,-1.01,-1.01,-1.01,250,-1.01,-1.01,-1.01
21MARCH2023,,20240528 110018,19,298,,+Y,275000.00,-1.01,0.10,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,19,298,,GUI,275000.00,16.00,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,20,300,,+Y,275000.00,-1.01,0.10,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,20,300,,GUI,275000.00,16.00,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,21,301,,+Y,275000.00,-1.01,0.10,-1.010100007,0.00,1.00,0.00
21MARCH2023,,20240528 110018,21,301,,GUI,275000.00,16.00,0.40,-1.010100007,1.00,-1.01,-1.01
21MARCH2023,,20240528 110018,22,302,,+Y,275000.00,-1.01,0.10,-1.010100007,0.00,1.00,0.00
